id	kosha_layer	kosha_english	kosha_domain	sub_category	scenario	intensity	trigger_type	recommended_technique	student_profile_tag	context_notes
1	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Unable to sleep for 3 consecutive nights before end-semester exams	High	Acute	Yoga Nidra + Progressive Muscle Relaxation	Engineering_3rd_Year	Acute insomnia pre-exam; risk of cognitive shutdown
2	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Waking up with panic at 3 AM multiple nights in a row	High	Chronic	Yoga Nidra + 4-7-8 Breathing	Science_2nd_Year	Nocturnal anxiety; check for underlying GAD
3	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Hostel noise making it impossible to fall asleep before 2 AM	Medium	Environmental	Pratyahara (Sense withdrawal) + Body Scan	All_Hostellers	Environmental stressor; teach sleep hygiene
4	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Oversleeping due to depression and missing morning classes	Medium	Chronic	Surya Namaskar routine + Circadian anchoring	Arts_2nd_Year	Hypersomnia pattern; needs activity scheduling
5	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Irregular sleep cycle shifting by 4+ hours every week	Medium	Chronic	Yoga Nidra + Fixed sleep-wake anchors	Engineering_1st_Year	Circadian disruption; common in first-year hostel
6	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Nightmares about failing exams disrupting sleep quality	Medium	Acute	Guided imagery + Yoga Nidra	Engineering_Final_Year	Exam-linked nightmares; cognitive restructuring needed
7	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Falling asleep in lectures due to chronic sleep debt	Medium	Chronic	Nidra scheduling + Caffeine reduction plan	Engineering_2nd_Year	Sleep debt accumulation; affects academic performance
8	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Can only sleep 3-4 hours during placement season	High	Acute	Short Yoga Nidra + Pranayama wind-down	Engineering_Final_Year	Placement anxiety fueling insomnia
9	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Using phone until 3 AM and feeling groggy all day	Low	Chronic	Screen hygiene + Pratyahara before bed	All_Students	Blue-light disruption; motivational interviewing
10	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Sleep Disruption	Sleep paralysis episodes causing extreme fear at night	High	Acute	Grounding + Pranayama education + Medical referral	Science_1st_Year	Sleep paralysis; needs medical screening
11	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Skipping meals for 2-3 days straight during exam week	High	Acute	Mindful eating reminder + Annamaya nourishment talk	Engineering_3rd_Year	Cortisol spike from fasting; impairs cognition
12	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Living on instant noodles and energy drinks for a month	Medium	Chronic	Annamaya kosha awareness + Nutritional first aid	Engineering_2nd_Year	Micronutrient deficiency; affects mood and energy
13	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Binge eating junk food after a stressful project submission	Medium	Acute	Mindful eating + Emotional regulation through breath	All_Students	Stress eating; emotional hunger vs physical hunger
14	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	No appetite at all since a bad breakup last week	High	Acute	Gentle nutrition prompts + Grief PFA framework	Arts_2nd_Year	Grief-induced anorexia; monitor weight
15	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Eating alone every day causing sadness around mealtimes	Medium	Chronic	Social eating encouragement + Metta meditation	Engineering_1st_Year	Loneliness cue; mess hall anxiety
16	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Feeling guilty and ashamed after eating too much	Medium	Chronic	Body neutrality + Ahimsa (non-violence) toward self	Science_1st_Year	Possible disordered eating; refer if persistent
17	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Spending very little on food to save money, feeling weak constantly	High	Chronic	Annamaya kosha nourishment + Financial aid guidance	Engineering_1st_Year	Financial stress + malnutrition combo
18	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Cafeteria food causing digestive issues and avoiding eating there	Low	Environmental	Gentle dietary alternatives + Agni balancing (Ayurvedic)	Hostel_Students	GI sensitivity; dietary adjustment
19	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Forgetting to eat because of hyperfocus on assignments	Medium	Chronic	Meal anchoring alarms + Body awareness cues	Engineering_3rd_Year	ADHD-adjacent hyperfocus pattern
20	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Nutrition	Craving sugar constantly and energy crashing mid-afternoon	Low	Chronic	Blood sugar regulation awareness + Pranayama energizer	All_Students	Glycemic instability; dietary coaching
21	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Falling sick before every major exam due to a weakened immune system	High	Chronic	Stress-immune link psychoeducation + Pranayama	Engineering_2nd_Year	Psychosomatic pattern; stress lowering immunity
22	Annamaya Kosha	Physical Body	Physical health, food, sleep, movement, sensory experience	Physical Illness	Severe migraine attacks triggered by screen time during assignments	High	Acute	Pratyahara + Cold compress + Nadi Shodhana	Engineering_3rd_Year	Stress headaches; track screen time
